Theme,,,,,,,,,,,,,,,,,,
party,champagne for dinner 🥂,entering my reputation era,✨my ride to dies ✨,pov: ur the bathroom mirror (mirror selfies),drunk in an elevator,if life was a movie,do you got plans tonight 🌃,Parallel Connection,none,none,none,none,none,none,none,none,none,none
drinks,champagne for dinner 🥂,entering my reputation era,✨my ride to dies ✨,pov: ur the bathroom mirror (mirror selfies),drunk in an elevator,if life was a movie,do you got plans tonight 🌃,Parallel Connection,none,none,none,none,none,none,none,none,none,none
alcohol,champagne for dinner 🥂,entering my reputation era,✨my ride to dies ✨,pov: ur the bathroom mirror (mirror selfies),drunk in an elevator,if life was a movie,do you got plans tonight 🌃,Parallel Connection,none,none,none,none,none,none,none,none,none,none
books,"went there for the books, left without brain cells",study date 💕,"hey. just working, working hard so i can please you",reading in cafes 📖 ,hot girl stuff 🔥,coffee + books = 💌,none,none,none,none,none,none,none,none,none,none,none,none
university,"went there for the books, left without brain cells",study date 💕,"hey. just working, working hard so i can please you",reading in cafes 📖 ,hot girl stuff 🔥,coffee + books = 💌,none,none,none,none,none,none,none,none,none,none,none,none
school,"went there for the books, left without brain cells",study date 💕,"hey. just working, working hard so i can please you",reading in cafes 📖 ,hot girl stuff 🔥,coffee + books = 💌,none,none,none,none,none,none,none,none,none,none,none,none
coffee,"went there for the books, left without brain cells",study date 💕,"hey. just working, working hard so i can please you",reading in cafes 📖 ,hot girl stuff 🔥,coffee + books = 💌,none,none,none,none,none,none,none,none,none,none,none,none
food,Eat brunch.,Brunch is everything I need it to be.,"This weekend, I'm all about brunch and Netflix.",Life without friends is just breakfast alone.,b*tches who brunch,Work hard. Brunch harder.,hugs and quiches,Turn down for brunch,"Save water, drink champagne",You had me at brunch,"And on the seventh day, God gave us brunch",life lately~,photo dump ,pinterest *insert food name*,cheat day,the way to my ❤️,none,none
breakfast,Eat brunch.,Brunch is everything I need it to be.,"This weekend, I'm all about brunch and Netflix.",Life without friends is just breakfast alone.,b*tches who brunch,Work hard. Brunch harder.,hugs and quiches,Turn down for brunch,"Save water, drink champagne",You had me at brunch,"And on the seventh day, God gave us brunch",life lately~,photo dump ,pinterest *insert food name*,cheat day,the way to my ❤️,none,none
brunch,Eat brunch.,Brunch is everything I need it to be.,"This weekend, I'm all about brunch and Netflix.",Life without friends is just breakfast alone.,b*tches who brunch,Work hard. Brunch harder.,hugs and quiches,Turn down for brunch,"Save water, drink champagne",You had me at brunch,"And on the seventh day, God gave us brunch",life lately~,photo dump ,pinterest *insert food name*,cheat day,the way to my ❤️,none,none
lunch,Eat brunch.,Brunch is everything I need it to be.,"This weekend, I'm all about brunch and Netflix.",Life without friends is just breakfast alone.,b*tches who brunch,Work hard. Brunch harder.,hugs and quiches,Turn down for brunch,"Save water, drink champagne",You had me at brunch,"And on the seventh day, God gave us brunch",life lately~,photo dump ,pinterest *insert food name*,cheat day,the way to my ❤️,none,none
dinner,Eat brunch.,Brunch is everything I need it to be.,"This weekend, I'm all about brunch and Netflix.",Life without friends is just breakfast alone.,b*tches who brunch,Work hard. Brunch harder.,hugs and quiches,Turn down for brunch,"Save water, drink champagne",You had me at brunch,"And on the seventh day, God gave us brunch",life lately~,photo dump ,pinterest *insert food name*,cheat day,the way to my ❤️,none,none
water,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
ocean,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
sand,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
sunny,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
sun,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
picnic,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
summer,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
spring,"Aruba, Jamaica, ooo i wanna take ya",gold rush 🌞,*insert name* (taylor’s version),the vibe is immaculate ,beach day,sunset street,back in the 2014 tumblr days,all smiles over here 😌,baby blue 💙,none,none,none,none,none,none,none,none,none
cold,its the cozy vibe,mr snowman,taking applications for a cuddle buddy 🐻❄️,lil snow bunny,"To trench, or not to trench?",none,none,none,none,none,none,none,none,none,none,none,none,none
snow,its the cozy vibe,mr snowman,taking applications for a cuddle buddy 🐻❄️,lil snow bunny,"To trench, or not to trench?",none,none,none,none,none,none,none,none,none,none,none,none,none
winter,its the cozy vibe,mr snowman,taking applications for a cuddle buddy 🐻❄️,lil snow bunny,"To trench, or not to trench?",none,none,none,none,none,none,none,none,none,none,none,none,none
autumn,its the cozy vibe,mr snowman,taking applications for a cuddle buddy 🐻❄️,lil snow bunny,"To trench, or not to trench?",none,none,none,none,none,none,none,none,none,none,none,none,none
love,home <3 ,salt to my pepper,yours truly <3,pov: we’re on a date 🍵🌱,everyday is 14/02 when im with u,"Wherever you stray, I follow",my favourite place to be,none,none,none,none,none,none,none,none,none,none,none
romance,home <3 ,salt to my pepper,yours truly <3,pov: we’re on a date 🍵🌱,everyday is 14/02 when im with u,"Wherever you stray, I follow",my favourite place to be,none,none,none,none,none,none,none,none,none,none,none
sex,home <3 ,salt to my pepper,yours truly <3,pov: we’re on a date 🍵🌱,everyday is 14/02 when im with u,"Wherever you stray, I follow",my favourite place to be,none,none,none,none,none,none,none,none,none,none,none
kiss,home <3 ,salt to my pepper,yours truly <3,pov: we’re on a date 🍵🌱,everyday is 14/02 when im with u,"Wherever you stray, I follow",my favourite place to be,none,none,none,none,none,none,none,none,none,none,none
bed,home <3 ,salt to my pepper,yours truly <3,pov: we’re on a date 🍵🌱,everyday is 14/02 when im with u,"Wherever you stray, I follow",my favourite place to be,none,none,none,none,none,none,none,none,none,none,none
valentine,home <3 ,salt to my pepper,yours truly <3,pov: we’re on a date 🍵🌱,everyday is 14/02 when im with u,"Wherever you stray, I follow",my favourite place to be,none,none,none,none,none,none,none,none,none,none,none
relationship,home <3 ,salt to my pepper,yours truly <3,pov: we’re on a date 🍵🌱,everyday is 14/02 when im with u,"Wherever you stray, I follow",my favourite place to be,none,none,none,none,none,none,none,none,none,none,none
ootd,hashtag OOTD,nyc vibes,lighting 🤝 confidence,on mondays we wear *insert colour*,Always dressed to kill.,Be not afraid of being called unfashionable.,Being well-dressed is my kind of happiness.,"Call me a hot mess, but never a fashion disaster.",Clothes are family....,Create your own style.,snaps,still not over this fit,none,none,none,none,none,none
top,hashtag OOTD,nyc vibes,lighting 🤝 confidence,on mondays we wear *insert colour*,Always dressed to kill.,Be not afraid of being called unfashionable.,Being well-dressed is my kind of happiness.,"Call me a hot mess, but never a fashion disaster.",Clothes are family....,Create your own style.,snaps,still not over this fit,none,none,none,none,none,none
bottom,hashtag OOTD,nyc vibes,lighting 🤝 confidence,on mondays we wear *insert colour*,Always dressed to kill.,Be not afraid of being called unfashionable.,Being well-dressed is my kind of happiness.,"Call me a hot mess, but never a fashion disaster.",Clothes are family....,Create your own style.,snaps,still not over this fit,none,none,none,none,none,none
clothing,hashtag OOTD,nyc vibes,lighting 🤝 confidence,on mondays we wear *insert colour*,Always dressed to kill.,Be not afraid of being called unfashionable.,Being well-dressed is my kind of happiness.,"Call me a hot mess, but never a fashion disaster.",Clothes are family....,Create your own style.,snaps,still not over this fit,none,none,none,none,none,none
company,hashtag OOTD,nyc vibes,lighting 🤝 confidence,on mondays we wear *insert colour*,Always dressed to kill.,Be not afraid of being called unfashionable.,Being well-dressed is my kind of happiness.,"Call me a hot mess, but never a fashion disaster.",Clothes are family....,Create your own style.,snaps,still not over this fit,none,none,none,none,none,none
sponsor,hashtag OOTD,nyc vibes,lighting 🤝 confidence,on mondays we wear *insert colour*,Always dressed to kill.,Be not afraid of being called unfashionable.,Being well-dressed is my kind of happiness.,"Call me a hot mess, but never a fashion disaster.",Clothes are family....,Create your own style.,snaps,still not over this fit,none,none,none,none,none,none
fit,Glowing and growing!,Keep your squats low and your standards high.,"I don't sweat, I sparkle.",Say squeeze,Don't decrease the goal. Increase the effort!,"Progress is progress, no matter how small.","It hurts now, but one day, it will be your warm-up.",Always be a work-in-progress.,"I am working on myself, for myself, by myself",do u even lift bro?,none,none,none,none,none,none,none,none
motivated,Glowing and growing!,Keep your squats low and your standards high.,"I don't sweat, I sparkle.",Say squeeze,Don't decrease the goal. Increase the effort!,"Progress is progress, no matter how small.","It hurts now, but one day, it will be your warm-up.",Always be a work-in-progress.,"I am working on myself, for myself, by myself",do u even lift bro?,none,none,none,none,none,none,none,none
sports,Glowing and growing!,Keep your squats low and your standards high.,"I don't sweat, I sparkle.",Say squeeze,Don't decrease the goal. Increase the effort!,"Progress is progress, no matter how small.","It hurts now, but one day, it will be your warm-up.",Always be a work-in-progress.,"I am working on myself, for myself, by myself",do u even lift bro?,none,none,none,none,none,none,none,none
workout,Glowing and growing!,Keep your squats low and your standards high.,"I don't sweat, I sparkle.",Say squeeze,Don't decrease the goal. Increase the effort!,"Progress is progress, no matter how small.","It hurts now, but one day, it will be your warm-up.",Always be a work-in-progress.,"I am working on myself, for myself, by myself",do u even lift bro?,none,none,none,none,none,none,none,none
lift,Glowing and growing!,Keep your squats low and your standards high.,"I don't sweat, I sparkle.",Say squeeze,Don't decrease the goal. Increase the effort!,"Progress is progress, no matter how small.","It hurts now, but one day, it will be your warm-up.",Always be a work-in-progress.,"I am working on myself, for myself, by myself",do u even lift bro?,none,none,none,none,none,none,none,none
depression,Night time is my time  ,#TEAMEDWARD4LIFE ,Put a knife inside me ,s(he) be(lie)ve(d),#daddyissues ,black is my fav colour,none,none,none,none,none,none,none,none,none,none,none,none
emo,Night time is my time  ,#TEAMEDWARD4LIFE ,Put a knife inside me ,s(he) be(lie)ve(d),#daddyissues ,black is my fav colour,none,none,none,none,none,none,none,none,none,none,none,none
moody,Night time is my time  ,#TEAMEDWARD4LIFE ,Put a knife inside me ,s(he) be(lie)ve(d),#daddyissues ,black is my fav colour,none,none,none,none,none,none,none,none,none,none,none,none
dark,Night time is my time  ,#TEAMEDWARD4LIFE ,Put a knife inside me ,s(he) be(lie)ve(d),#daddyissues ,black is my fav colour,none,none,none,none,none,none,none,none,none,none,none,none
black,Night time is my time  ,#TEAMEDWARD4LIFE ,Put a knife inside me ,s(he) be(lie)ve(d),#daddyissues ,black is my fav colour,none,none,none,none,none,none,none,none,none,none,none,none